Words,Frequency
art,150
museum,107
collection,39
american,33
exhibition,29
work,26
public,23
program,23
culture,21
mission,20
community,20
new,20
world,19
people,18
cultural,17
institution,17
artist,16
value,16
experience,14
idea,13
contemporary,13
one,13
audience,12
life,12
global,12
history,12
plan,12
year,12
center,12
committed,11
create,11
goal,11
foundation,11
city,10
creativity,10
environment,10
diverse,10
educational,10
radical,10
diversity,10
african,10
time,9
vision,9
place,9
human,9
support,9
state,9
equity,9
staff,9
founded,9
visitor,9
share,8
care,8
present,8
understanding,8
impact,8
future,8
strive,8
preserve,8
great,8
belief,8
united,8
dedicated,8
activity,8
national,8
free,8
foster,7
generation,7
civic,7
promote,7
visual,7
creative,7
field,7
strategic,7
local,7
identity,6
mfa,6
boston,6
preservation,6
commitment,6
artistic,6
sustainability,6
inclusion,6
seek,6
help,6
research,6
age,6
special,6
well,6
portland,6
houston,6
collect,5
across,5
dynamic,5
ability,5
shared,5
use,5
platform,5
build,5
better,5
connect,5
house,5
created,5
innovation,5
resource,5
board,5
welcome,5
social,5
education,5
serve,5
building,5
fort,5
space,5
access,5
core,5
university,5
trustee,5
heard,5
volunteer,5
three,5
latin,5
black,5
rebuild,5
inclusive,4
fine,4
incorporate,4
facility,4
resiliency,4
adapt,4
changing,4
imperative,4
accountability,4
unique,4
forum,4
general,4
learning,4
open,4
permanent,4
make,4
interpretation,4
provide,4
significant,4
engage,4
important,4
including,4
voice,4
role,4
founder,4
si,4
individual,4
asian,4
conservation,4
century,4
heritage,4
citizen,4
admission,4
member,4
donor,4
offer,4
gallery,4
legacy,4
everyone,4
oldest,4
nonprofit,4
first,4
san,4
modern,4
architect,4
association,4
belonging,4
nurture,4
broad,4
intellectual,4
international,4
publication,4
knowledge,4
organization,4
library,4
frick,4
context,3
gathering,3
inspire,3
recognizes,3
magnitude,3
planet,3
humankind,3
perpetuity,3
responsibility,3
planning,3
decisionmaking,3
aim,3
reduce,3
environmental,3
operation,3
increase,3
line,3
operational,3
institutional,3
philadelphia,3
around,3
reach,3
purpose,3
process,3
supported,3
scholarship,3
whitney,3
broadest,3
moment,3
educates,3
embrace,3
collecting,3
object,3
medium,3
presenting,3
two,3
distinct,3
ambitious,3
creating,3
respect,3
engagement,3
take,3
intersection,3
incubator,3
expanding,3
design,3
way,3
today,3
quality,3
day,3
explores,3
meaning,3
humanity,3
leader,3
past,3
society,3
explore,3
event,3
always,3
family,3
benefit,3
part,3
grant,3
worth,3
commission,3
order,3
appreciation,3
located,3
campus,3
opened,3
country,3
strives,3
student,3
home,3
extraordinary,3
look,3
forward,3
welcoming,3
also,3
tampa,3
relationship,3
antonio,3
mcnay,3
donald,3
would,3
gender,3
race,3
pacific,3
principle,3
studio,3
501c3,3
every,3
see,3
serf,3
view,3
opportunity,3
harassment,3
inclusivity,3
status,3
personal,3
racial,3
sam,3
molaa,3
mexican,3
beyond,3
beauty,3
princeton,3
study,3
digital,3
mocada,3
dr,3
barness,3
matter,3
el,3
museo,3
